time_us,speed_ms,acceleration,yaw,steer_angle,throttle_status,break_status,auto_state
1569494645991778,5.63775,-0.00732422,2.78282,-0.244346,0,0,0
1569494646011768,5.63668,0.00219727,2.78263,-0.244346,0,0,0
1569494646032147,5.63704,-0.00109863,2.78244,-0.244346,0,0,0
1569494646052069,5.63203,-0.00439453,2.78205,-0.244346,0,0,0
1569494646072698,5.63311,-0.00439453,2.78186,-0.244346,0,0,0
1569494646092554,5.62811,-0.0109863,2.78167,-0.244346,0,0,0
1569494646112259,5.62168,-0.00219727,2.78148,-0.244346,0,0,0
1569494646131785,5.61275,-0.00549316,2.78129,-0.244346,0,0,0
1569494646151821,5.60811,-0.0150146,2.7809,-0.244346,0,0,0
1569494646172116,5.60061,0.00549316,2.78071,-0.244346,0,0,0
1569494646192027,5.5949,-0.012085,2.78052,-0.244346,0,0,0
1569494646211960,5.59383,-0.000366211,2.78033,-0.244346,0,0,0
1569494646232313,5.59421,-0.00952148,2.78013,-0.226893,0,0,0
1569494646251997,5.5892,-0.00549316,2.77994,-0.226893,0,0,0
1569494646271906,5.5885,0.00366211,2.77956,-0.226893,0,0,0
1569494646292075,5.58565,-0.00878906,2.77937,-0.226893,0,0,0
1569494646312085,5.57995,-0.00256348,2.77918,-0.226893,0,0,0
1569494646332368,5.57139,-0.0153809,2.77898,-0.226893,0,0,0
1569494646352424,5.56637,-0.0113525,2.77879,-0.226893,0,0,0
1569494646372393,5.56854,0.00146484,2.7786,-0.226893,0,0,0
1569494646392490,5.56243,0.00256348,2.77841,-0.226893,0,0,0
1569494646412296,5.55958,0,2.77822,-0.20944,0,0,0
1569494646433112,5.56066,-0.0065918,2.77802,-0.20944,0,0,0
1569494646452679,5.55564,-0.0032959,2.77783,-0.20944,0,0,0
1569494646472173,5.55171,-0.00549316,2.77764,-0.20944,0,0,0
1569494646491985,5.54384,0.0142822,2.77745,-0.20944,0,0,0
1569494646512031,5.54029,0.00622559,2.77726,-0.20944,0,0,0
1569494646532227,5.53065,0.000732422,2.77706,-0.20944,0,0,0
1569494646571924,5.52997,0.0102539,2.7765,-0.20944,0,0,0
1569494646591851,5.52033,-0.00695801,2.77631,-0.191986,0,0,0
1569494646611829,5.50784,-0.00769043,2.77612,-0.191986,0,0,0
1569494646632074,5.50432,-0.0172119,2.77593,-0.191986,0,0,0
1569494646652269,5.50499,0.0161133,2.77593,-0.174533,0,0,0
1569494646672042,5.50038,0.00109863,2.77574,-0.174533,0,0,0
1569494646692171,5.50038,-0.0263672,2.77554,-0.15708,0,0,0
1569494646713407,5.49402,0.0131836,2.77535,-0.15708,0,0,0
1569494646732782,5.48504,-0.0032959,2.77535,-0.15708,0,0,0
1569494646752104,5.47825,0.0172119,2.77516,-0.139626,0,0,0
1569494646772202,5.47649,-0.0142822,2.77497,-0.139626,0,0,0
1569494646792203,5.4743,-0.0032959,2.77497,-0.139626,0,0,0
1569494646812244,5.46466,0.0065918,2.77478,-0.139626,0,0,0
1569494646831931,5.46248,-0.0131836,2.77458,-0.139626,0,0,0
1569494646852218,5.45745,0.00769043,2.77458,-0.139626,0,0,0
1569494646872164,5.47036,-0.013916,2.77439,-0.139626,0,0,0
1569494646892115,5.46248,-0.00292969,2.7742,-0.139626,0,0,0
1569494646911741,5.45502,-0.00109863,2.7742,-0.139626,0,0,0
1569494646932100,5.45042,0.00366211,2.77401,-0.139626,0,0,0
1569494646952071,5.44472,0.00439453,2.77382,-0.139626,0,0,0
1569494646972406,5.44297,-0.00439453,2.77382,-0.139626,0,0,0
1569494646992503,5.43728,0.00146484,2.77362,-0.139626,0,0,0
1569494647012455,5.43443,-0.0109863,2.77343,-0.139626,0,0,0
1569494647032618,5.42654,-0.00402832,2.77343,-0.139626,0,0,0
1569494647052400,5.42084,-0.00402832,2.77324,-0.139626,0,0,0
1569494647092083,5.42194,0.0065918,2.77305,-0.139626,0,0,0
1569494647112295,5.4169,-0.00622559,2.77286,-0.139626,0,0,0
1569494647132243,5.4169,-0.00842285,2.77286,-0.139626,0,0,0
1569494647152269,5.40726,0.0032959,2.77267,-0.139626,0,0,0
1569494647172242,5.40156,-0.00915527,2.77267,-0.139626,0,0,0
1569494647192125,5.39697,-0.0032959,2.77247,-0.139626,0,0,0
1569494647212339,5.39367,-0.00439453,2.77228,-0.139626,0,0,0
1569494647232712,5.38513,-0.000732422,2.77228,-0.139626,0,0,0
1569494647252802,5.38798,-0.00183105,2.77209,-0.139626,0,0,0
1569494647273132,5.38688,0.00622559,2.7719,-0.139626,0,0,0
1569494647292737,5.37789,-0.0113525,2.7719,-0.139626,0,0,0
1569494647312606,5.37329,-0.00732422,2.7717,-0.139626,0,0,0
1569494647332186,5.35971,0.0032959,2.77151,-0.139626,0,0,0
1569494647352307,5.35511,0.00183105,2.77132,-0.139626,0,0,0
1569494647372178,5.35336,-0.00183105,2.77132,-0.139626,0,0,0
1569494647392196,5.34657,-0.00549316,2.77113,-0.139626,0,0,0
1569494647412332,5.34198,-0.0117188,2.77094,-0.139626,0,0,0
1569494647432151,5.34135,-0.0142822,2.77094,-0.139626,0,0,0
1569494647452293,5.33282,-0.000732422,2.77075,-0.139626,0,0,0
1569494647472538,5.32532,0.00512695,2.77094,-0.139626,0,0,0
1569494647492772,5.32684,-0.0065918,2.77094,-0.139626,0,0,0
1569494647512359,5.32509,0.0124512,2.77094,-0.139626,0,0,0
1569494647531887,5.3194,-0.0117188,2.77075,-0.139626,0,0,0
1569494647552075,5.31591,-0.00549316,2.77055,-0.139626,0,0,0
1569494647572227,5.31638,0.0186768,2.77055,-0.139626,0,0,0
1569494647592413,5.30564,-0.00512695,2.77055,-0.139626,0,0,0
1569494647632052,5.29774,-0.00183105,2.77036,-0.139626,0,0,0
1569494647652028,5.29205,0.000366211,2.77017,-0.139626,0,0,0
1569494647672641,5.29365,0.00695801,2.76998,-0.139626,0,0,0
1569494647692125,5.28685,-0.00695801,2.76998,-0.139626,0,0,0
1569494647712077,5.28178,0.00512695,2.76979,-0.139626,0,0,0
1569494647732063,5.27499,-0.00952148,2.76959,-0.139626,0,0,0
1569494647752230,5.27277,-0.00439453,2.76959,-0.139626,0,0,0
1569494647772220,5.27104,-0.00146484,2.7694,-0.139626,0,0,0
1569494647792193,5.26819,-0.00146484,2.7694,-0.139626,0,0,0
1569494647812259,5.2614,0.00439453,2.76921,-0.139626,0,0,0
1569494647832387,5.25967,-0.00219727,2.76921,-0.139626,0,0,0
1569494647852334,5.25287,0.0032959,2.76921,-0.139626,0,0,0
1569494647872506,5.24892,-0.00732422,2.76902,-0.139626,0,0,0
1569494647902463,5.2467,0.00549316,2.76883,-0.139626,0,0,0
1569494647902463,5.2467,0.00549316,2.76883,-0.139626,0,0,0
1569494647932062,5.23928,-0.000732422,2.76883,-0.139626,0,0,0
1569494647952665,5.22853,-0.00732422,2.76863,-0.139626,0,0,0
1569494647972258,5.21889,0.00256348,2.76863,-0.139626,0,0,0
1569494647992179,5.20704,-0.00146484,2.76844,-0.139626,0,0,0
1569494648012153,5.20135,-0.0065918,2.76844,-0.139626,0,0,0
1569494648032250,5.19393,-0.00878906,2.76825,-0.139626,0,0,0
1569494648052103,5.18998,-0.0065918,2.76825,-0.139626,0,0,0
1569494648072518,5.19159,0.0065918,2.76806,-0.139626,0,0,0
1569494648112301,5.18318,-0.000366211,2.76787,-0.139626,0,0,0
1569494648132361,5.17861,-0.0102539,2.76787,-0.139626,0,0,0
1569494648152490,5.17181,-0.0065918,2.76767,-0.139626,0,0,0
1569494648172581,5.15822,-0.00842285,2.76767,-0.139626,0,0,0
1569494648192701,5.15822,-0.0032959,2.76748,-0.139626,0,0,0
1569494648212273,5.1497,0.00219727,2.76748,-0.139626,0,0,0
1569494648232536,5.1497,0.000732422,2.76729,-0.139626,0,0,0
1569494648252200,5.14797,-0.00512695,2.76729,-0.139626,0,0,0
1569494648273448,5.15031,-0.00622559,2.76729,-0.139626,0,0,0
1569494648292176,5.14068,-0.00915527,2.76729,-0.139626,0,0,0
1569494648312126,5.12647,0.00622559,2.7671,-0.139626,0,0,0
1569494648332149,5.12363,-0.0157471,2.7671,-0.139626,0,0,0
1569494648352080,5.11115,0.00183105,2.7671,-0.139626,0,0,0
1569494648372099,5.10831,-0.00878906,2.7671,-0.139626,0,0,0
1569494648392260,5.10658,-0.0113525,2.76691,-0.139626,0,0,0
1569494648412253,5.09695,-0.00842285,2.76691,-0.139626,0,0,0
1569494648432538,5.08619,-0.0212402,2.76691,-0.139626,0,0,0
1569494648452790,5.07656,-0.0098877,2.76671,-0.122173,0,0,0
1569494648472604,5.07321,-0.0102539,2.76671,-0.122173,0,0,0
1569494648512982,5.05789,-0.00878906,2.76671,-0.122173,0,0,0
1569494648531902,5.04653,-0.00805664,2.76652,-0.122173,0,0,0
1569494648552003,5.03293,-0.0183105,2.76652,-0.122173,0,0,0
1569494648572013,5.02046,-0.0164795,2.76652,-0.122173,0,0,0
1569494648592144,5.0097,0.00622559,2.76633,-0.122173,0,0,0
1569494648612315,4.99846,-0.0245361,2.76633,-0.122173,0,0,0
1569494648632234,4.99216,-0.0106201,2.76614,-0.122173,0,0,0
1569494648672536,4.98983,-0.00292969,2.76595,-0.122173,0,0,0
1569494648692201,4.97684,-0.0238037,2.76595,-0.122173,0,0,0
1569494648713260,4.96884,-0.0230713,2.76575,-0.122173,0,0,0
1569494648732060,4.9598,0,2.76575,-0.122173,0,0,0
1569494648752129,4.95016,-0.0142822,2.76575,-0.122173,0,0,0
1569494648772168,4.94732,-0.00549316,2.76575,-0.122173,0,0,0
1569494648792796,4.93768,-0.00842285,2.76575,-0.122173,0,0,0
1569494648813101,4.93201,-0.00805664,2.76575,-0.122173,0,0,0
1569494648833035,4.92581,-0.00915527,2.76575,-0.122173,0,0,0
1569494648852305,4.91901,-0.0135498,2.76556,-0.122173,0,0,0
1569494648872106,4.92409,-0.0135498,2.76556,-0.122173,0,0,0
1569494648892141,4.90878,-0.0109863,2.76556,-0.122173,0,0,0
1569494648912166,4.89578,0.0106201,2.76556,-0.122173,0,0,0
1569494648932147,4.88838,-0.0267334,2.76537,-0.122173,0,0,0
1569494648952067,4.87195,-0.00878906,2.76537,-0.122173,0,0,0
1569494648971959,4.85947,-0.0194092,2.76537,-0.122173,0,0,0
1569494648991936,4.8538,-0.0164795,2.76518,-0.122173,0,0,0
1569494649012137,4.84416,0.00622559,2.76518,-0.122173,0,0,0
1569494649032314,4.8334,-0.0256348,2.76518,-0.122173,0,0,0
1569494649072663,4.83961,-0.0205078,2.76499,-0.122173,0,0,0
1569494649072663,4.83961,-0.0205078,2.76499,-0.122173,0,0,0
1569494649112614,4.8175,-0.012085,2.76499,-0.122173,0,0,0
1569494649132314,4.81354,-0.0153809,2.76499,-0.122173,0,0,0
1569494649152389,4.8045,-0.00842285,2.76499,-0.122173,0,0,0
1569494649172059,4.79374,-0.0175781,2.76499,-0.122173,0,0,0
1569494649192097,4.78582,-0.0281982,2.76479,-0.122173,0,0,0
1569494649212285,4.77334,-0.020874,2.76479,-0.122173,0,0,0
1569494649232196,4.76371,-0.0153809,2.76479,-0.122173,0,0,0
1569494649252325,4.76087,-0.0234375,2.76479,-0.122173,0,0,0
1569494649272472,4.78298,-0.0205078,2.7646,-0.122173,0,0,0
1569494649292235,4.76879,-0.0183105,2.7646,-0.122173,0,0,0
1569494649313589,4.75295,-0.0219727,2.7646,-0.122173,0,0,0
1569494649332405,4.7416,-0.00585938,2.76441,-0.122173,0,0,0
1569494649352793,4.73084,-0.0205078,2.76441,-0.122173,0,0,0
1569494649372628,4.72232,-0.0183105,2.76441,-0.122173,0,0,0
1569494649392739,4.71949,-0.0102539,2.76422,-0.122173,0,0,0
1569494649412835,4.71441,-0.0285645,2.76422,-0.122173,0,0,0
1569494649432362,4.70365,-0.0223389,2.76422,-0.122173,0,0,0
1569494649452057,4.69909,-0.0201416,2.76403,-0.122173,0,0,0
1569494649472447,4.70472,-0.0065918,2.76383,-0.122173,0,0,0
1569494649492522,4.6917,-0.0172119,2.76383,-0.122173,0,0,0
1569494649512345,4.68378,-0.012085,2.76364,-0.122173,0,0,0
1569494649552265,4.66789,-0.0131836,2.76345,-0.122173,0,0,0
1569494649572243,4.65713,-0.0168457,2.76345,-0.139626,0,0,0
1569494649592533,4.65033,-0.00695801,2.76345,-0.139626,0,0,0
1569494649612774,4.64411,-0.0164795,2.76326,-0.139626,0,0,0
1569494649632680,4.64069,-0.013916,2.76326,-0.15708,0,0,0
1569494649652868,4.63844,-0.0161133,2.76326,-0.15708,0,0,0
1569494649672782,4.63903,-0.0157471,2.76326,-0.15708,0,0,0
1569494649692784,4.6288,-0.0146484,2.76326,-0.174533,0,0,0
1569494649712381,4.62201,-0.0212402,2.76307,-0.174533,0,0,0
1569494649732188,4.61179,-0.00842285,2.76307,-0.191986,0,0,0
1569494649752391,4.60499,-0.00805664,2.76307,-0.191986,0,0,0
1569494649772248,4.59819,-0.00695801,2.76289,-0.20944,0,0,0
1569494649792132,4.59139,-0.0106201,2.76289,-0.20944,0,0,0
1569494649812148,4.58572,-0.0098877,2.7627,-0.20944,0,0,0
1569494649832831,4.57212,-0.0106201,2.7627,-0.226893,0,0,0
1569494649852198,4.56419,-0.0135498,2.76251,-0.226893,0,0,0
1569494649872767,4.56928,-0.0164795,2.76232,-0.244346,0,0,0
